cliente_id,nps,valoracion_entrenador,valoracion_instalaciones,valoracion_limpieza,valoracion_clases,comentarios
1,5,5.0,3.0,3.4,3.0,
2,4,4.4,3.6,3.2,3.5,Cambio de entrenador sin previo aviso.
4,5,3.7,3.9,3.0,3.3,
5,4,3.2,3.3,3.2,4.5,Me han cobrado de más un mes.
6,5,3.0,3.9,3.8,4.2,
7,2,3.1,1.7,3.3,3.2,Demasiada gente en hora punta.
8,7,3.7,3.7,3.7,5.0,
9,5,4.0,2.0,3.6,4.1,Las máquinas a veces están estropeadas.
12,6,4.2,5.0,3.1,3.9,Me han cobrado de más un mes.
13,4,2.9,3.5,2.8,3.1,Las duchas necesitan renovación.
14,5,3.9,2.5,3.9,3.1,El precio ha subido mucho últimamente.
15,5,3.1,4.8,2.9,3.5,El precio ha subido mucho últimamente.
17,10,5.0,2.0,3.1,5.0,
18,7,3.5,2.8,2.5,2.9,Recomendaría este gimnasio sin dudarlo.
19,7,2.0,2.9,3.4,4.0,Muy satisfecho con las instalaciones.
20,7,3.5,4.5,4.7,3.9,Me encanta el ambiente y la limpieza.
21,7,4.1,2.7,2.9,2.9,Las clases son variadas y motivadoras.
23,4,3.6,2.4,4.8,3.3,
25,5,3.2,3.9,4.1,3.9,La limpieza podría mejorar.
26,8,4.6,3.4,4.2,4.5,
27,3,3.6,3.7,2.8,4.0,
28,5,3.6,2.0,3.0,4.3,
29,6,3.7,2.9,3.2,4.1,
30,2,2.6,2.9,4.3,3.6,
31,7,4.1,3.8,3.6,2.5,La atención al cliente es de 10.
32,3,2.6,2.6,4.0,4.4,
33,3,3.0,3.6,2.0,3.5,Las duchas necesitan renovación.
34,3,5.0,3.8,5.0,3.5,Me han cobrado de más un mes.
35,5,3.9,4.9,3.7,4.5,Cambio de entrenador sin previo aviso.
36,3,3.9,3.9,4.4,2.0,Demasiada gente en hora punta.
37,5,3.6,2.5,2.5,3.2,La limpieza podría mejorar.
40,4,4.3,2.8,4.2,4.2,
41,4,4.3,3.1,4.4,3.4,
42,4,3.0,4.2,3.4,3.4,La limpieza podría mejorar.
43,3,1.6,2.8,1.9,4.0,
44,7,2.8,3.8,3.9,1.9,Recomendaría este gimnasio sin dudarlo.
46,4,3.5,3.4,4.0,3.9,
47,7,4.0,4.4,4.1,3.7,
52,7,3.1,3.0,4.1,2.8,
53,1,4.3,3.5,4.6,3.8,
56,6,4.1,3.7,3.7,4.8,Me han cobrado de más un mes.
59,6,3.9,3.2,4.1,3.0,
60,5,3.4,4.9,3.3,4.5,Difícil aparcar.
61,5,2.8,5.0,3.7,2.6,
63,9,3.9,2.5,1.9,4.4,Me encanta el ambiente y la limpieza.
64,5,3.6,3.3,2.8,3.1,Me han cobrado de más un mes.
65,8,1.6,4.5,3.5,4.3,Recomendaría este gimnasio sin dudarlo.
67,4,3.2,3.6,3.3,4.1,Me han cobrado de más un mes.
68,3,3.5,3.5,2.5,1.5,
69,8,4.2,1.8,4.0,3.4,La atención al cliente es de 10.
70,7,3.2,2.9,3.3,4.7,Recomendaría este gimnasio sin dudarlo.
71,2,2.8,2.5,2.7,2.9,Demasiada gente en hora punta.
72,5,4.9,5.0,3.6,4.5,Cambio de entrenador sin previo aviso.
73,7,3.4,4.5,3.5,3.0,Muy satisfecho con las instalaciones.
75,2,2.4,2.5,2.5,4.0,
77,5,2.7,1.9,2.8,3.1,Me han cobrado de más un mes.
78,3,3.0,3.4,3.4,3.7,Las duchas necesitan renovación.
79,3,3.8,2.6,4.3,2.6,
80,5,5.0,1.4,3.1,2.7,Demasiada gente en hora punta.
81,8,4.4,3.9,4.6,5.0,Me encanta el ambiente y la limpieza.
82,8,4.4,3.8,3.7,3.8,
83,4,2.1,4.1,3.3,4.0,
84,5,3.8,4.2,3.8,4.4,Las máquinas a veces están estropeadas.
86,5,3.6,3.5,2.7,5.0,
88,4,3.5,4.1,2.1,3.3,
89,4,3.4,1.6,4.4,5.0,Las máquinas a veces están estropeadas.
90,5,4.7,3.2,5.0,2.8,
91,6,3.4,3.4,4.1,3.5,El precio ha subido mucho últimamente.
92,10,3.9,2.6,3.1,4.3,El equipo de entrenadores es excelente.
93,3,3.3,3.4,3.4,4.0,Difícil aparcar.
95,7,4.1,3.9,3.1,4.5,
96,2,3.9,3.2,2.7,3.4,Las duchas necesitan renovación.
97,8,3.7,3.0,3.0,3.8,Muy satisfecho con las instalaciones.
98,5,3.7,3.1,2.7,5.0,Las máquinas a veces están estropeadas.
100,6,3.3,3.8,2.9,3.4,
102,4,3.3,2.4,2.6,2.6,Me han cobrado de más un mes.
103,6,3.6,4.2,2.4,3.3,Cambio de entrenador sin previo aviso.
104,7,5.0,3.5,2.9,2.0,
108,4,3.9,4.3,3.7,4.1,La limpieza podría mejorar.
109,5,4.4,4.8,3.0,2.5,Cambio de entrenador sin previo aviso.
110,5,5.0,3.1,3.5,5.0,
111,6,4.4,2.5,3.4,4.5,Las duchas necesitan renovación.
112,2,4.2,3.4,1.8,4.6,Cambio de entrenador sin previo aviso.
113,5,4.4,2.9,3.2,4.4,Las máquinas a veces están estropeadas.
115,5,2.7,2.5,2.9,4.1,
116,4,1.5,4.2,2.9,4.0,Demasiada gente en hora punta.
118,7,2.2,3.0,3.3,3.4,
119,6,2.9,3.8,1.7,4.7,Me han cobrado de más un mes.
121,6,3.5,3.0,4.5,3.9,Me han cobrado de más un mes.
122,2,3.3,3.1,3.6,3.7,Me han cobrado de más un mes.
124,5,4.9,2.6,3.3,4.0,Demasiada gente en hora punta.
125,7,3.0,3.8,3.6,3.4,Muy satisfecho con las instalaciones.
126,3,3.4,2.9,3.3,4.5,Difícil aparcar.
127,7,3.5,4.1,2.7,4.3,
128,3,3.9,4.2,4.1,4.7,Demasiada gente en hora punta.
129,3,3.1,1.8,3.7,4.7,
130,3,2.4,4.3,4.1,2.3,Las máquinas a veces están estropeadas.
131,6,3.5,3.4,3.3,5.0,Difícil aparcar.
132,6,4.0,3.4,4.2,3.9,
133,4,4.2,2.8,3.3,3.7,Demasiada gente en hora punta.
134,4,5.0,3.2,3.8,4.3,Las duchas necesitan renovación.
135,6,4.7,4.2,3.0,3.5,
136,7,4.7,2.0,2.4,3.6,El equipo de entrenadores es excelente.
137,8,4.3,2.4,4.1,4.5,Me encanta el ambiente y la limpieza.
139,5,3.7,3.5,1.7,4.0,Demasiada gente en hora punta.
140,2,3.7,3.6,3.2,3.0,
141,4,4.9,2.6,3.8,4.0,Difícil aparcar.
142,6,4.7,3.7,3.6,3.3,
143,10,3.7,3.8,3.5,5.0,Recomendaría este gimnasio sin dudarlo.
144,6,4.0,3.6,2.1,3.5,Las máquinas a veces están estropeadas.
145,5,3.0,4.1,2.7,3.7,Las máquinas a veces están estropeadas.
146,1,3.7,4.1,3.6,3.2,
147,6,4.1,3.9,3.1,3.6,
148,8,4.4,3.9,2.5,3.5,
149,9,4.2,2.8,2.7,4.4,
151,4,4.3,4.3,4.2,3.5,Demasiada gente en hora punta.
153,6,3.1,3.2,2.9,3.9,Difícil aparcar.
154,2,2.7,4.1,4.0,3.1,La limpieza podría mejorar.
155,7,4.8,3.1,2.9,3.4,La atención al cliente es de 10.
156,5,3.3,2.2,2.0,3.1,Las máquinas a veces están estropeadas.
158,1,1.6,1.8,2.4,3.4,Demasiada gente en hora punta.
159,6,3.9,1.7,3.9,3.3,La limpieza podría mejorar.
160,7,2.8,3.6,3.6,4.0,El equipo de entrenadores es excelente.
164,4,2.9,2.8,3.3,3.2,Cambio de entrenador sin previo aviso.
165,3,4.6,3.2,2.9,4.0,
166,4,3.6,5.0,2.7,3.0,El precio ha subido mucho últimamente.
167,6,5.0,3.4,3.3,3.9,Cambio de entrenador sin previo aviso.
169,6,4.2,2.6,5.0,4.9,Las duchas necesitan renovación.
170,2,4.8,2.8,2.8,4.2,Me han cobrado de más un mes.
171,5,4.3,3.9,2.7,3.3,Las máquinas a veces están estropeadas.
172,1,2.5,2.8,2.4,4.1,
175,3,3.7,3.4,2.4,3.3,Difícil aparcar.
176,5,4.4,3.2,2.7,4.3,El precio ha subido mucho últimamente.
177,6,4.6,3.4,2.5,4.5,El precio ha subido mucho últimamente.
178,7,2.0,3.0,3.4,3.8,Las clases son variadas y motivadoras.
179,6,4.1,3.0,3.2,4.3,
181,5,3.4,3.6,2.0,1.5,El precio ha subido mucho últimamente.
182,7,3.4,3.5,3.3,3.3,Muy satisfecho con las instalaciones.
183,6,5.0,2.8,2.6,3.5,El precio ha subido mucho últimamente.
184,2,4.2,3.4,2.4,3.3,Difícil aparcar.
185,5,4.0,3.5,3.8,2.7,Las duchas necesitan renovación.
186,4,4.1,3.5,2.5,4.0,Difícil aparcar.
188,5,4.6,4.0,2.3,2.4,Las duchas necesitan renovación.
189,3,3.0,2.3,2.6,3.6,
191,3,2.3,2.3,4.6,4.3,Las duchas necesitan renovación.
193,4,4.0,4.2,3.9,4.5,
194,0,3.9,3.5,2.3,3.0,Difícil aparcar.
196,0,4.4,2.7,4.9,4.7,
198,5,4.7,2.5,2.7,2.9,Me han cobrado de más un mes.
