cliente_id,health_score,riesgo_churn_pct,customer_lifetime_value_estimado,fecha_ultima_prediccion,variables_mas_influyentes,motivo_principal_riesgo,explicacion_ia,accion_recomendada,nivel_riesgo
1,54,44.0,601.6,2026-07-12,Alta distancia al gimnasio; Cambio reciente de entrenador,Cambio reciente de entrenador,El cliente muestra indicios de desenganche: cambio reciente de entrenador. Una acción proactiva puede revertir la situación.,Enviar email personalizado de reactivación,medio
2,67,32.4,129.66,2026-07-12,Competidor cercano recién abierto; Baja satisfacción (NPS < 5); Sin renovación automática; Baja frecuencia de visitas,Baja frecuencia de visitas,El cliente muestra indicios de desenganche: baja frecuencia de visitas. Una acción proactiva puede revertir la situación.,Invitar a evento exclusivo del centro,medio
3,48,46.3,417.3,2026-07-12,Cancelaciones de clases frecuentes; Alta distancia al gimnasio; Sin interacción con la app,Competidor cercano recién abierto,El cliente muestra indicios de desenganche: competidor cercano recién abierto. Una acción proactiva puede revertir la situación.,Ofrecer sesión de entrenamiento personal gratuita,medio
4,80,19.9,396.78,2026-07-12,Competidor cercano recién abierto; Cancelaciones de clases frecuentes; Cambio reciente de entrenador,Cancelaciones de clases frecuentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cancelaciones de clases frecuentes.,Email de fidelización estándar,bajo
5,30,63.8,1606.24,2026-07-12,Alta distancia al gimnasio; Impagos recurrentes; Competidor cercano recién abierto,Baja frecuencia de visitas,El cliente presenta señales críticas: baja frecuencia de visitas. Tendencia de actividad decreciente. Intervención inmediata recomendada.,Ofrecer congelación temporal de cuota,alto
6,85,12.9,797.18,2026-07-12,Cambio reciente de entrenador; Alta distancia al gimnasio; Sin interacción con la app; Precio elevado respecto al uso,Competidor cercano recién abierto,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: competidor cercano recién abierto.,Email de fidelización estándar,bajo
7,39,56.7,419.38,2026-07-12,Baja frecuencia de visitas; Sin renovación automática,Cambio reciente de entrenador,El cliente muestra indicios de desenganche: cambio reciente de entrenador. Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
8,73,21.9,1281.15,2026-07-12,Competidor cercano recién abierto; Precio elevado respecto al uso,Cancelaciones de clases frecuentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cancelaciones de clases frecuentes.,Enviar encuesta de satisfacción,bajo
9,86,21.9,361.62,2026-07-12,Baja frecuencia de visitas; Baja satisfacción (NPS < 5),Baja frecuencia de visitas,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: baja frecuencia de visitas.,Email de fidelización estándar,bajo
10,53,48.4,40.69,2026-07-12,Impagos recurrentes; Baja satisfacción (NPS < 5),Sin interacción con la app,El cliente muestra indicios de desenganche: sin interacción con la app. Una acción proactiva puede revertir la situación.,Ofrecer sesión de entrenamiento personal gratuita,medio
11,33,57.4,926.82,2026-07-12,Cancelaciones de clases frecuentes; Cambio reciente de entrenador; Sin renovación automática; Baja satisfacción (NPS < 5),Cancelaciones de clases frecuentes,El cliente muestra indicios de desenganche: cancelaciones de clases frecuentes. Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
12,99,10.5,2858.56,2026-07-12,Competidor cercano recién abierto; Precio elevado respecto al uso; Cambio reciente de entrenador; Impagos recurrentes,Baja frecuencia de visitas,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: baja frecuencia de visitas.,Push notification con novedades del centro,bajo
13,65,38.8,404.3,2026-07-12,Competidor cercano recién abierto; Baja satisfacción (NPS < 5),Sin renovación automática,El cliente muestra indicios de desenganche: sin renovación automática. Una acción proactiva puede revertir la situación.,Ofrecer sesión de entrenamiento personal gratuita,medio
14,74,30.1,984.48,2026-07-12,Impagos recurrentes; Sin interacción con la app; Competidor cercano recién abierto,Baja satisfacción (NPS < 5),El cliente muestra indicios de desenganche: baja satisfacción (nps < 5). Una acción proactiva puede revertir la situación.,Ofrecer sesión de entrenamiento personal gratuita,medio
15,83,15.0,338.25,2026-07-12,Sin interacción con la app; Impagos recurrentes; Baja satisfacción (NPS < 5),Cambio reciente de entrenador,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cambio reciente de entrenador.,Enviar encuesta de satisfacción,bajo
16,54,43.7,235.3,2026-07-12,Baja satisfacción (NPS < 5); Cancelaciones de clases frecuentes,Baja frecuencia de visitas,El cliente muestra indicios de desenganche: baja frecuencia de visitas. Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
17,75,15.9,2759.94,2026-07-12,Baja satisfacción (NPS < 5); Alta distancia al gimnasio; Cambio reciente de entrenador,Cambio reciente de entrenador,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cambio reciente de entrenador.,Enviar encuesta de satisfacción,bajo
18,59,40.6,201.5,2026-07-12,Sin renovación automática; Cancelaciones de clases frecuentes; Sin interacción con la app,Competidor cercano recién abierto,El cliente muestra indicios de desenganche: competidor cercano recién abierto. Una acción proactiva puede revertir la situación.,Ofrecer sesión de entrenamiento personal gratuita,medio
19,81,22.1,2242.85,2026-07-12,Alta distancia al gimnasio; Cambio reciente de entrenador; Impagos recurrentes,Sin interacción con la app,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: sin interacción con la app.,Push notification con novedades del centro,bajo
20,65,24.2,1075.65,2026-07-12,Alta distancia al gimnasio; Cancelaciones de clases frecuentes; Cambio reciente de entrenador; Competidor cercano recién abierto,Alta distancia al gimnasio,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: alta distancia al gimnasio.,Push notification con novedades del centro,bajo
21,72,28.7,511.3,2026-07-12,Sin interacción con la app; Competidor cercano recién abierto; Sin renovación automática,Cancelaciones de clases frecuentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cancelaciones de clases frecuentes.,Email de fidelización estándar,bajo
